serial_no,district_name,block_tehsil_name,village_name,unique_id,water_body_name,latitude,longitude,maximum_water_spread_area
19520,Malda,Chanchal-Ii,Gaursanda,1/19/316/002934/0312301/029,PNG ROAD,25.32423,87.9966267,0.5
19526,Malda,Chanchal-Ii,Gaursanda,1/19/316/002934/0312301/030,PMG ROAD,25.3240583,87.9962,0.2
14540,Malda,Chanchal-Ii,Gaursanda,1/19/316/002934/0312301/031,PMG ROAD,25.3251867,87.9959533,0.25
19525,Malda,Chanchal-Ii,Gaursanda,1/19/316/002934/0312301/032,EID BATA GOURSHAND,25.3250717,87.9996867,0.45
14554,Malda,Chanchal-Ii,Gaursanda,1/19/316/002934/0312301/033,PMG ROAD,25.3250783,87.9962067,0.25
23649,Malda,Chanchal-Ii,Gaursanda,1/19/316/002934/0312301/034,PNG ROAD,25.3250083,87.996155,0.4
19524,Malda,Chanchal-Ii,Gaursanda,1/19/316/002934/0312301/035,PMG ROAD,25.323929,87.9997227,0.4
23648,Malda,Chanchal-Ii,Gaursanda,1/19/316/002934/0312301/036,PMG ROAD,25.32315,87.9990867,0.4
14565,Malda,Chanchal-Ii,Gaursanda,1/19/316/002934/0312301/037,PNG ROAD,25.3226833,88.0000517,0.25
14119,Malda,Chanchal-Ii,Gaursanda,1/19/316/002934/0312301/038,PMG ROAD,25.3225367,88.0007267,0.32
14577,Malda,Chanchal-Ii,Gaursanda,1/19/316/002934/0312301/039,PMG ROAD,25.3226917,88.0010317,0.42
14597,Malda,Chanchal-Ii,Gaursanda,1/19/316/002934/0312301/040,GAURSAND MAT ,25.3218083,88.0016867,0.9
19523,Malda,Chanchal-Ii,Gaursanda,1/19/316/002934/0312301/041,GOURSHAND MATH,25.3213,88.0022833,0.4
14622,Malda,Chanchal-Ii,Gaursanda,1/19/316/002934/0312301/042,GOURSHAND MATH ,25.32124,88.002265,0.25
14667,Malda,Chanchal-Ii,Gaursanda,1/19/316/002934/0312301/043,SHWASAN,25.3163233,87.9942133,2
14671,Malda,Chanchal-Ii,Gaursanda,1/19/316/002934/0312301/044,PMG ROAD,25.31763,87.99754,0.45
23647,Malda,Chanchal-Ii,Gaursanda,1/19/316/002934/0312301/045,PMG ROAD,25.3179731,87.9978919,0.4
20055,Malda,Chanchal-Ii,Gobindapara,1/19/316/002934/0312300/021,GOVINDA PAR MART ,25.320025,88.00266,0.52
5351,Malda,English Bazar,Dariadaha,1/19/316/002935/0313434/015,NA,24.9332783,88.1103967,0.72
2722,Malda,English Bazar,Dariadaha,1/19/316/002935/0313434/016,NA,24.9322749,88.1109832,0.54
5352,Malda,English Bazar,Dariadaha,1/19/316/002935/0313434/017,NA,24.9343046,88.1106339,0.36
5354,Malda,English Bazar,Dariadaha,1/19/316/002935/0313434/018,NA,24.9323722,88.1125563,0.66
19607,Malda,Chanchal-Ii,Kandaran,1/19/316/002934/0312280/008,NA,25.2776715,87.9952183,0.43
15902,Malda,Chanchal-Ii,Kandaran,1/19/316/002934/0312280/009,NA,25.2776482,87.9898986,0.9
16516,Malda,Chanchal-Ii,Kandaran,1/19/316/002934/0312280/010,,25.2778409,87.9907151,0.35
15907,Malda,Chanchal-Ii,Kandaran,1/19/316/002934/0312280/011,,25.2777168,87.9912985,0.32
15909,Malda,Chanchal-Ii,Kandaran,1/19/316/002934/0312280/012,,25.2777763,87.9912866,0.4
19609,Malda,Chanchal-Ii,Kandaran,1/19/316/002934/0312280/013,,25.2781897,87.9911525,0.26
19610,Malda,Chanchal-Ii,Kandaran,1/19/316/002934/0312280/014,,25.2780809,87.9910977,0.51
5355,Malda,English Bazar,Dariadaha,1/19/316/002935/0313434/019,NA,24.9309532,88.1136083,0.65
10240,Malda,English Bazar,Sadullapur,1/19/316/002935/0313404/037,NA,24.9649047,88.0979427,1.7
10239,Malda,English Bazar,Sadullapur,1/19/316/002935/0313404/038,MOMIN SK,24.9706414,88.0952083,1
3248,Malda,English Bazar,Sadullapur,1/19/316/002935/0313404/039,NA,24.9665966,88.0952372,1
3255,Malda,English Bazar,Sadullapur,1/19/316/002935/0313404/040,NA,24.9651211,88.0955724,1.3
3267,Malda,English Bazar,Sadullapur,1/19/316/002935/0313404/041,NA,24.9644402,88.0950246,1
11256,Malda,English Bazar,Sadullapur,1/19/316/002935/0313404/042,NA,24.9628876,88.091306,1
10238,Malda,English Bazar,Sadullapur,1/19/316/002935/0313404/043,KALU DAS,24.9614358,88.0972746,0.5
5356,Malda,English Bazar,Dariadaha,1/19/316/002935/0313434/020,NA,24.9302683,88.1106626,0.525
10237,Malda,English Bazar,Sadullapur,1/19/316/002935/0313404/044,NEMAI MANDAL,24.9600623,88.1040112,1.85
7649,Malda,Chanchal-Ii,Goalpara,1/19/316/002934/0312334/004,NEAR HATATPARA ROAD ,25.299328,88.0783174,0.2
6959,Malda,Chanchal-Ii,Goalpara,1/19/316/002934/0312334/005,HATATPARA ROAD ,25.3001917,88.078895,0.2
11289,Malda,Chanchal-Ii,Goalpara,1/19/316/002934/0312334/006,HATATPARA ROAD ,25.3030657,88.0840013,0.2
6958,Malda,Chanchal-Ii,Goalpara,1/19/316/002934/0312334/007,HATATPARA ROAD ,25.3030554,88.0840406,0.3
11288,Malda,Chanchal-Ii,Goalpara,1/19/316/002934/0312334/008,NEAR BADH ROAD ,25.3067172,88.1003485,0.3
7648,Malda,Chanchal-Ii,Goalpara,1/19/316/002934/0312334/009,NEAR BADH ROAD ,25.3066521,88.1003268,0.4
7640,Malda,Chanchal-Ii,Goalpara,1/19/316/002934/0312334/010,NEAR BADH ROAD ,25.3063267,88.1002849,1.8
7646,Malda,Chanchal-Ii,Goalpara,1/19/316/002934/0312334/011,NEAR BADH ROAD ,25.3074252,88.1006482,0.3
7644,Malda,Chanchal-Ii,Goalpara,1/19/316/002934/0312334/012,NEAR BADH ROAD ,25.3074398,88.1006215,0.3
7647,Malda,Chanchal-Ii,Goalpara,1/19/316/002934/0312334/013,NEAR BADH ROAD ,25.3079617,88.100435,0.8
7645,Malda,Chanchal-Ii,Goalpara,1/19/316/002934/0312334/014,NEAR BADH ROAD ,25.3079983,88.10038,1.1
10236,Malda,English Bazar,Sadullapur,1/19/316/002935/0313404/045,NA,24.9600028,88.1053261,1.35
16,Malda,English Bazar,Dariadaha,1/19/316/002935/0313434/021,NA,24.9262214,88.1133015,0.35
3423,Malda,English Bazar,Dariadaha,1/19/316/002935/0313434/022,NA,24.9272904,88.1107255,1.05
11255,Malda,English Bazar,Sadullapur,1/19/316/002935/0313404/046,SAGAR DIGHI,24.964872,88.1042345,2
3434,Malda,English Bazar,Dariadaha,1/19/316/002935/0313434/023,NA,24.9345583,88.1138917,0.6
16785,Malda,Gazole,Darapur,1/19/316/002936/0312771/001,HARI MANDL,25.1394564,88.2393535,0.42
16094,Malda,Gazole,Darapur,1/19/316/002936/0312771/002,SANTOSH MANDAL,25.1395407,88.2393383,0.45
16088,Malda,Gazole,Darapur,1/19/316/002936/0312771/003,PATIAMBAR MANDAL,25.1371215,88.2402508,0.44
16090,Malda,Gazole,Darapur,1/19/316/002936/0312771/004,PITAMBAR MANDAL,25.1369166,88.2386763,0.46
16091,Malda,Gazole,Darapur,1/19/316/002936/0312771/005,BIMAL MANDAL,25.1384765,88.2396549,0.32
16089,Malda,Gazole,Darapur,1/19/316/002936/0312771/006,JIBON MARDI,25.1380399,88.2407473,0.14
16097,Malda,Gazole,Darapur,1/19/316/002936/0312771/007,SUFAL MURMU,25.138046,88.2409806,0.16
16810,Malda,Gazole,Darapur,1/19/316/002936/0312771/008,DAMOMAN,25.1385771,88.2422011,0.28
16098,Malda,Gazole,Darapur,1/19/316/002936/0312771/009,BILU,25.141262,88.2437538,0.16
16102,Malda,Gazole,Darapur,1/19/316/002936/0312771/010,JUDUDOM,25.1419855,88.2459952,0.38
16821,Malda,Gazole,Darapur,1/19/316/002936/0312771/011,GP,25.1398423,88.2442889,0.34
16104,Malda,Gazole,Darapur,1/19/316/002936/0312771/012,NO,25.1398664,88.2431419,0.14
5365,Malda,English Bazar,Dariadaha,1/19/316/002935/0313434/024,NA,24.934525,88.113445,0.7
16107,Malda,Gazole,Darapur,1/19/316/002936/0312771/013,SUNIL MANDAL,25.1395191,88.2419731,0.43
16108,Malda,Gazole,Darapur,1/19/316/002936/0312771/014,NO,25.1375116,88.242417,0.28
16110,Malda,Gazole,Darapur,1/19/316/002936/0312771/015,NO,25.1376445,88.2425898,0.2
16111,Malda,Gazole,Darapur,1/19/316/002936/0312771/016,GURNO,25.136922,88.2438784,0.34
16109,Malda,Gazole,Darapur,1/19/316/002936/0312771/017,SUFOL MURMU,25.1363693,88.2439859,0.16
16115,Malda,Gazole,Jadupur,1/19/316/002936/0312773/012,GP,25.1289323,88.2423231,0.26
16116,Malda,Gazole,Jadupur,1/19/316/002936/0312773/013,NO,25.1241505,88.2425789,0.22
16117,Malda,Gazole,Jadupur,1/19/316/002936/0312773/014,GP,25.1241071,88.2454167,0.54
16119,Malda,Gazole,Jadupur,1/19/316/002936/0312773/015,DHINUPAL,25.1237475,88.2460896,0.38
16121,Malda,Gazole,Jadupur,1/19/316/002936/0312773/016,NO,25.1238529,88.2478849,0.36
10235,Malda,English Bazar,Sadullapur,1/19/316/002935/0313404/047,NA,24.968476,88.1086549,0.4
22385,Malda,English Bazar,Tiakati,1/19/316/002935/0313423/041,NA,24.9342249,88.1139717,0.36
