serial_no,district_name,block_tehsil_name,town_municipality_name,ward_name,unique_id,water_body_name,latitude,longitude,maximum_water_spread_area,max_depth_water
669,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.21,2/19/306/250038/0067205/0005,DHOKRASAHID BANGPUKUR,23.239658,87.842567,0.42,5
670,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.21,2/19/306/250038/0067205/0006,DHOKRASAHID SIBPUKUR,23.2396987,87.8448927,0.2,2
461,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.21,2/19/306/250038/0067205/0007,OLAICHANDI PUKUR,23.2393471,87.8456605,0.09,2
671,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.21,2/19/306/250038/0067205/0008,BHATPUKUR BESIDE MANASA MANDIR,23.2396375,87.8461063,0.09,3
662,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.21,2/19/306/250038/0067205/0009,DIGHIR POOL,23.2382461,87.8471352,1.36,5
462,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.21,2/19/306/250038/0067205/0010,PANJA BAGAN PUKUR,23.2393434,87.8497996,0.59,4
655,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.17,2/19/306/250038/0067201/0009,TEJGANJ NATUN COLONY PUKUR,23.227105,87.8486968,0.009,5
464,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.17,2/19/306/250038/0067201/0010,PADMA PUKUR,23.2271537,87.8497057,0.009,5
463,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.17,2/19/306/250038/0067201/0011,TALPUKUR,23.2256199,87.8513379,0.09,4
654,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.17,2/19/306/250038/0067201/0012,BHUTGARPAR,23.2234632,87.8515195,0.09,3
466,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.17,2/19/306/250038/0067201/0013,SADANANDA ASHRAM PUKUR,23.2211036,87.8510849,0.19,3
721,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.17,2/19/306/250038/0067201/0014,PIRPUKUR,23.2213865,87.8505049,0.04,3
658,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.17,2/19/306/250038/0067201/0015,MILL PUKUR,23.2188778,87.8511682,0.2,2
719,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.17,2/19/306/250038/0067201/0016,PANCHIPUKUR,23.2213652,87.848798,0.4,5
465,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.17,2/19/306/250038/0067201/0017,DOBA BESIDE PACHIPUKUR,23.2217472,87.8494192,0.02,2
636,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.14,2/19/306/250038/0067198/0001,BINDUR PUKUR,23.225124,87.8677908,0.1,3
635,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.14,2/19/306/250038/0067198/0002,KAMARPUKUR,23.223623,87.868668,0.1,3
634,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.14,2/19/306/250038/0067198/0003,KAMALADIGHI,23.2238551,87.8678848,2.98,3
633,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.14,2/19/306/250038/0067198/0004,NABIN SANGHA PUKUR,23.2255983,87.8659708,0.8,5
632,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.14,2/19/306/250038/0067198/0005,BENIPUKUR,23.2274504,87.8665093,1.9,5
476,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.8,2/19/306/250038/0067192/0001,TANTAGHAR BACKSIDE PUKUR,23.2355355,87.8799874,0.09,3
640,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.15,2/19/306/250038/0067199/0001,CHOTONILPUR SHIBAJI SANGHA PUKUR,23.2233087,87.8627705,0.09,3
474,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.7,2/19/306/250038/0067191/0002,PIRPUKUR ,23.2384689,87.8762264,0.18,4
471,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.7,2/19/306/250038/0067191/0003,TARUN SANGHA PUKUR,23.2428908,87.8717169,0.09,3
468,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.8,2/19/306/250038/0067192/0002,SUBHAS CLUB DOBA,23.2364071,87.8769778,0.08,2
473,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.8,2/19/306/250038/0067192/0003,PURBASHA HOUSE OPPOSITE PUKUR,23.2362782,87.880059,0.18,3
472,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.8,2/19/306/250038/0067192/0004,JAMTALA BESIDE BANIPITH SCHOOL PUKUR,23.2355845,87.8820629,0.1,4
469,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.20,2/19/306/250038/0067204/0003,JORAPUKUR ,23.2377553,87.8529423,0.07,3
475,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.8,2/19/306/250038/0067192/0005,VIVEKANANDA SCHOOL PUKUR,23.2365543,87.8780465,0.1,3
479,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.18,2/19/306/250038/0067202/0001,ASHIYANA HOUSE OPPOSITE POND,23.2291728,87.8570477,0.07,3
478,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.18,2/19/306/250038/0067202/0002,GOLAHAT PIRSTHAN BACKSIDE PUKUR,23.22978,87.85641,0.1,3
480,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.18,2/19/306/250038/0067202/0003,PUKUR BESIDE OF SABIR ALI HOUSE,23.2293892,87.8583347,0.04,2
482,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.18,2/19/306/250038/0067202/0004,KAJIPUKUR ,23.2337528,87.8556216,0.4,3
477,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.18,2/19/306/250038/0067202/0005,BABUR PUKUR,23.2351636,87.8563412,0.1,3
470,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.18,2/19/306/250038/0067202/0006,SISU NIKETAN PUKUR,23.2323454,87.8559324,0.24,3
639,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.15,2/19/306/250038/0067199/0002,PUKUR BEHIND BARDHAMAN GRAPH SOCIETY ,23.2322126,87.8641663,0.16,3
481,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.8,2/19/306/250038/0067192/0006,SUBHAS ATHLETIC CLUB PUKUR,23.2351905,87.8785903,0.09,4
483,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.35,2/19/306/250038/0067219/0001,OLAICHANDI TALA PUKUR,23.2344897,87.856813,0.01,2
485,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.35,2/19/306/250038/0067219/0002, PIRTALA PUKUR,23.233006,87.8576922,0.08,2
699,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.35,2/19/306/250038/0067219/0003,MIDDEY PUKUR,23.2325675,87.8573671,0.08,3
487,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.35,2/19/306/250038/0067219/0004,,23.2330121,87.857094,0.09,3
488,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.35,2/19/306/250038/0067219/0005,KARMAKAR PUKUR,23.2330289,87.8570986,0.09,3
698,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.35,2/19/306/250038/0067219/0006,NAUKA PUKUR,23.2334171,87.8590979,0.02,3
484,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.35,2/19/306/250038/0067219/0007,SAHEBER PUKUR,23.233772,87.8595661,0.25,4
697,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.35,2/19/306/250038/0067219/0008,RANI PUKUR,23.2341636,87.8602381,0.1,3
490,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.35,2/19/306/250038/0067219/0009,HOUSING POND,23.2335978,87.861076,0.2,5
696,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.35,2/19/306/250038/0067219/0010,HOUSING POND ,23.233847,87.8620482,0.2,3
491,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.35,2/19/306/250038/0067219/0011,RANI PUKUR BESIDE,23.2323278,87.8604048,0.46,4
695,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.35,2/19/306/250038/0067219/0012,GOLA HAT  GOPALER PUKUR,23.2319613,87.8581552,0.2,3
489,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.35,2/19/306/250038/0067219/0013,RANIMATH BESIDE JORA PUKUR,23.2343355,87.8581922,0.2,4
486,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.35,2/19/306/250038/0067219/0014,MAYA VILLA BESIDE PUKUR,23.2343351,87.8581749,0.18,3
694,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.35,2/19/306/250038/0067219/0015,KANAKANJALI OPPOSITE PUKUR,23.233755,87.8587639,0.18,3
693,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.35,2/19/306/250038/0067219/0016,SREEDHAR SAW MILL OPPOSITE SIDE PUKUR,23.2353444,87.8583528,0.05,3
678,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.22,2/19/306/250038/0067206/0007,ADIBASI PUKUR ,23.2321902,87.8419324,0.06,2
653,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.17,2/19/306/250038/0067201/0018,BEHIND OLD YAMMAHA SHOWROOM,23.2233023,87.8504931,0.1,3
649,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.16,2/19/306/250038/0067200/0001,PUKUR INFRONT OF NARAYAN WIRE HOUSE,23.2175437,87.8540253,0.4,3
648,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.16,2/19/306/250038/0067200/0002,,23.2167502,87.8526532,0.1,3
531,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.26,2/19/306/250038/0067210/0003,RAJ PUKUR ,23.2498996,87.840047,0.61,2
851,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.23,2/19/306/250038/0067207/0001,Pukur,23.2575213,87.8436746,0.1,3
536,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.26,2/19/306/250038/0067210/0004,NA,23.2578125,87.8441463,0.5,
528,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.26,2/19/306/250038/0067210/0005,NA,23.2578151,87.8441739,700,
551,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.26,2/19/306/250038/0067210/0006,,23.2577896,87.8441906,0.87,
540,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.26,2/19/306/250038/0067210/0007,,23.2584102,87.8443852,0.25,
541,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.26,2/19/306/250038/0067210/0008,NA,23.2577989,87.844153,0.06,1.5
683,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.25,2/19/306/250038/0067209/0001,,23.2577837,87.8441544,0.3,25
544,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.25,2/19/306/250038/0067209/0002,boropukur,23.2416963,87.8400809,0.5,
550,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.24,2/19/306/250038/0067208/0001,,23.2577777,87.8441451,0.9,5
846,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.23,2/19/306/250038/0067207/0002,NA,23.2577975,87.8441524,0.1,
682,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.25,2/19/306/250038/0067209/0003,SANTO PUKUR,23.2437696,87.8329044,0.3,5
681,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.24,2/19/306/250038/0067208/0002,TALPUKUR,23.2577964,87.8441508,0.7,
677,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.24,2/19/306/250038/0067208/0003,TALPUKUR,23.2577903,87.8441464,0.02,
537,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.24,2/19/306/250038/0067208/0004,D N Das pukur,23.2331048,87.8207911,0.06,
715,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.1,2/19/306/250038/0067185/0001,,23.257781,87.8442447,0.06,
729,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.1,2/19/306/250038/0067185/0002,THAKURPUKUR,23.2578087,87.8441782,0.06,9
545,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.3,2/19/306/250038/0067187/0001,Bali pukur,23.257574,87.8438171,0.07,3
547,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.3,2/19/306/250038/0067187/0002,Gas pukur,23.258774,87.8458103,0.05,
548,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.3,2/19/306/250038/0067187/0003,Pakkapukur,23.258553,87.8459516,0.3,10
538,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.3,2/19/306/250038/0067187/0004,joramondir pukur,23.2587301,87.8459254,0.66,
549,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.5,2/19/306/250038/0067189/0001,NA,23.2577526,87.8462321,0.7,
539,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.5,2/19/306/250038/0067189/0002,school pukur,23.2574173,87.8460803,0.6,15
558,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.5,2/19/306/250038/0067189/0003,munsi pukur,23.2574173,87.8460803,0.4,5
552,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.23,2/19/306/250038/0067207/0003,Bhowmik pukur,23.256701,87.8456572,0.4,3
530,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.23,2/19/306/250038/0067207/0004,NA,23.2571303,87.8459653,0.55,5
533,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.23,2/19/306/250038/0067207/0005,paddyampukur,23.2571102,87.8459613,0.75,5
546,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.3,2/19/306/250038/0067187/0005,Tibigar pukur,23.256489,87.8455902,0.7,3
529,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.3,2/19/306/250038/0067187/0006,Midya Pukur,23.2564755,87.8455727,0.35,3
534,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.26,2/19/306/250038/0067210/0009,Bene Pukur,23.2497612,87.836595,1,5
556,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.26,2/19/306/250038/0067210/0010,DIGRI PUKUR,23.2565195,87.8449044,0.77,5
543,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.26,2/19/306/250038/0067210/0011,MUNSHI PUKUR,23.2568492,87.8448613,1.1,7
