serial_no,district_name,block_tehsil_name,town_municipality_name,ward_name,unique_id,water_body_name,latitude,longitude,maximum_water_spread_area,max_depth_water
586,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.26,2/19/306/250038/0067210/0033,TARA PUKUR,23.2494885,87.8481201,0.55,0.85
590,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.26,2/19/306/250038/0067210/0034,MOHONBAGAN PUKUR,23.2473048,87.8443437,0.75,3
723,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.26,2/19/306/250038/0067210/0035,CAMPAS PUKUR ,23.2475961,87.8438288,0.56,3
581,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.26,2/19/306/250038/0067210/0036,PURATON PUKUR ,23.2476243,87.8424411,0.4,1
575,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.26,2/19/306/250038/0067210/0037,BOT PUKUR ,23.2475092,87.8411017,0.5,2
685,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.26,2/19/306/250038/0067210/0038,BELPUKUR ,23.2476601,87.839772,0.7,3
574,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.26,2/19/306/250038/0067210/0039,PUKUR ,23.2485665,87.8407179,0.75,2
564,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.26,2/19/306/250038/0067210/0040,NAPITO PUKUR ,23.2486847,87.8404013,0.5,2
684,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.26,2/19/306/250038/0067210/0041,PAL PUKUR ,23.2493769,87.8408416,0.68,2
598,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.16,2/19/306/250038/0067200/0003,BHAKAT PUKUR ,23.2170974,87.8524237,0.07,3
646,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.16,2/19/306/250038/0067200/0004,RAGHU PUKUR,23.2187411,87.8528128,0.58,5
647,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.16,2/19/306/250038/0067200/0005,,23.2196154,87.8550483,1,4
645,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.16,2/19/306/250038/0067200/0006,,23.2174999,87.857871,0.1,3
714,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.16,2/19/306/250038/0067200/0007,PUKUR BESIDE PRITI ICE CREAM GODOWN,23.2167974,87.8581733,0.005,3
644,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.16,2/19/306/250038/0067200/0008,INFRONT OF PHILLIPS BAKERY PUKUR,23.2151327,87.8571518,0.139,3
643,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.16,2/19/306/250038/0067200/0009,NOTUN PUKUR,23.2162548,87.8567872,2,5
642,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.16,2/19/306/250038/0067200/0010,SWASTI TALA PUKUR,23.2246493,87.8568488,0.5,3
641,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.16,2/19/306/250038/0067200/0011,PIRTALA  CHAR MATHA PUKUR,23.2222889,87.8634997,0.012,3
652,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.17,2/19/306/250038/0067201/0019, INFRONT OF NETAI PARAMANIK HOUSE  POND,23.2270686,87.8553945,0.01,4
596,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.17,2/19/306/250038/0067201/0020,NETAI PARAMANIK HOUSE BESIDE POND,23.2269968,87.8546883,0.01,4
720,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.17,2/19/306/250038/0067201/0021,BEHIND MAHAMAYA MEDICAL HALL,23.2269531,87.8545627,0.009,3
651,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.17,2/19/306/250038/0067201/0022,MOKBERA POND,23.2259302,87.8538591,0.096,5
650,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.17,2/19/306/250038/0067201/0023,HARADHANPALLY SHIBPUKUR,23.2281956,87.8485405,0.04,3
599,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.17,2/19/306/250038/0067201/0024,JAYANATO SALUN BEHIND POND,23.2271102,87.8473006,0.02,4
679,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.22,2/19/306/250038/0067206/0008,PUKUR BESIDE MIRA BHABAN,23.226677,87.8412132,0.005,3
595,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.22,2/19/306/250038/0067206/0009,NARMADESWAR SIB PUKUR,23.2264235,87.8415487,0.24,3
600,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.22,2/19/306/250038/0067206/0010,BEHIND ABHIJIT GHOSH HOUSE,23.2238986,87.8423621,0.06,3
591,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.22,2/19/306/250038/0067206/0011,KALIMATA SANGHA PUKUR,23.223904,87.8423436,0.006,2.5
592,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.22,2/19/306/250038/0067206/0012,GAR ,23.224148,87.8426526,0.02,2.5
602,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.22,2/19/306/250038/0067206/0013,GORH JORA PUKUR ,23.2238567,87.8435113,0.1,3
593,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.22,2/19/306/250038/0067206/0014,GAHR JORA PUKUR ,23.2238725,87.8435184,0.2,4
597,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.22,2/19/306/250038/0067206/0015,BOR PUKUR,23.2233105,87.8440487,1.02,4
663,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.22,2/19/306/250038/0067206/0016,INFRONT OF BIDDYA SUNDAR KALI BARI,23.2236879,87.8451454,1.07,5
601,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.22,2/19/306/250038/0067206/0017,DEYPARA PUKUR,23.2246858,87.8441721,0.06,3
594,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.22,2/19/306/250038/0067206/0018,NANDYPARA,23.2247499,87.8442551,0.06,4
672,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.22,2/19/306/250038/0067206/0019,TEJGANJ SARASWATI CLUB PUKUR,23.224052,87.8446615,0.04,3
665,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.22,2/19/306/250038/0067206/0020,ASHRAM PUKUR,23.2258587,87.8434793,0.5,3
603,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.2,2/19/306/250038/0067186/0001,NASTEI PUKUR,23.2511263,87.8579704,0.5,0.25
606,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.2,2/19/306/250038/0067186/0002,SAKH PUKUR,23.2474754,87.8681581,0.55,5
607,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.8,2/19/306/250038/0067192/0007,Nari Colony Pukur,23.2361196,87.8764284,0.1,3
605,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.9,2/19/306/250038/0067193/0001,Pukur Infront of Municipal Girls School,23.2359575,87.8711763,0.018,3
608,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.9,2/19/306/250038/0067193/0002,pukur Infront Of SBI,23.2379351,87.8704632,0.08,4
848,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.9,2/19/306/250038/0067193/0003,Town School Pukur 3,23.2365584,87.869097,0.1,2.5
847,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.9,2/19/306/250038/0067193/0004,Gitanjali Park Pukur,23.2389216,87.8698057,2.9,5
604,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.12,2/19/306/250038/0067196/0001,KUMORPARA PUKUR,23.22147,87.8715083,0.01,3
631,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.12,2/19/306/250038/0067196/0002,BEHIND OF M BAZAR,23.2270533,87.8723667,0.101,5
613,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.15,2/19/306/250038/0067199/0003,NABODAY SANGHA PUKUR,23.2279017,87.86364,0.6,4
718,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.18,2/19/306/250038/0067202/0007,KAZIPUKUR,23.2338615,87.8555144,0.6,3
717,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.18,2/19/306/250038/0067202/0008,BHATCHALA KALEKHA MASJID BACKSIDE POND,23.2341196,87.8549294,0.04,3
612,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.9,2/19/306/250038/0067193/0005,Burdwan Municipal Girls School Pukur,23.2371476,87.8717373,0.3,4
610,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.9,2/19/306/250038/0067193/0006,Infront of cissors parlour ,23.2378933,87.8740371,0.1,4
666,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.18,2/19/306/250038/0067202/0009,DILIP CHOWDHURY PUKUR,23.2301533,87.8566033,0.2,5
630,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.12,2/19/306/250038/0067196/0003,SIBTALA SWIMMING POOL BEHIND ,23.2235584,87.8715769,0.1,4
849,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.9,2/19/306/250038/0067193/0007,Back Side of Court Compound Pukur,23.2385929,87.8686143,0.09,3
629,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.12,2/19/306/250038/0067196/0004,KUMORPARA  PUKUR,23.2220098,87.8716285,0.006,3
638,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.15,2/19/306/250038/0067199/0004,JORAPUKUR,23.228685,87.8653017,0.4,5
716,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.12,2/19/306/250038/0067196/0005,SIBTALA PUKUR,23.2235828,87.8716794,0.012,3
609,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.9,2/19/306/250038/0067193/0008,Town School Pukur 2,23.2366359,87.8693376,0.01,3
615,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.7,2/19/306/250038/0067191/0004,Kochipukur,23.2418332,87.8725752,0.09,2
614,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.8,2/19/306/250038/0067192/0008,Bhowmick Pukur,23.2357899,87.8804894,0.07,2
637,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.15,2/19/306/250038/0067199/0005,CENTRAL GOVT GODOWN PUKUR,23.228115,87.85867,0.009,4
628,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.12,2/19/306/250038/0067196/0006,RANI DIGHI,23.2214967,87.87871,2.9,4
611,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.18,2/19/306/250038/0067202/0010,BHATCHALA BANKAR MATH PUKUR,23.23494,87.854313,0.04,1.5
664,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.22,2/19/306/250038/0067206/0021,CHAKRABORTY HOUSE PUKUR,23.2250163,87.8428266,1,4
691,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.34,2/19/306/250038/0067218/0001,ENGINE PUKUR ,23.2348478,87.864482,0.2,4
692,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.34,2/19/306/250038/0067218/0002,MURAT MAHAL KUNDU PUKUR,23.2357337,87.8641954,0.09,3
616,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.34,2/19/306/250038/0067218/0003,KOLKATA BAZAR OPPOSITE PUKUR,23.2361008,87.8651751,0.1,3
690,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.34,2/19/306/250038/0067218/0004,SAIN BARI PUKUR,23.236977,87.8646738,0.29,4
728,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.34,2/19/306/250038/0067218/0005,PUKUR BEHIND CPIM PARTY OFFICE,23.2364696,87.8616657,0.07,2
617,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.34,2/19/306/250038/0067218/0006,PUKUR BESIDE ADV NAZRUL ISLAM HOUSE,23.2382001,87.8646496,0.15,4
625,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.34,2/19/306/250038/0067218/0007,PUKUR BESIDE DHALDIGHI,23.2390864,87.865089,0.138,3
626,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.34,2/19/306/250038/0067218/0008,DHALDIGHI,23.2381655,87.865722,1.3,5
620,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.6,2/19/306/250038/0067190/0007,lnforont of boys hostel ,23.2481536,87.8801508,0.1,3
622,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.6,2/19/306/250038/0067190/0008,Idgaha pukur,23.2461041,87.8821549,0.01,4
618,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.6,2/19/306/250038/0067190/0009,pana pukur,23.2445208,87.8816003,0.6,2
621,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.6,2/19/306/250038/0067190/0010,loko bus stand beside,23.2435654,87.8818226,0.2,4
619,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.6,2/19/306/250038/0067190/0011,pir pukur,23.2482656,87.8746413,0.2,4.2
624,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.2,2/19/306/250038/0067186/0003,NARJA PUKUR,23.2475905,87.8680442,0.68,0.2
687,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.27,2/19/306/250038/0067211/0001,LAMBA PUKUR,23.2418536,87.8524837,0.65,3
627,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.2,2/19/306/250038/0067186/0004,NATUN PUKUR ,23.2419257,87.8524664,0.35,0.2
44,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.27,2/19/306/250038/0067211/0002,RUDRA PUKUR,23.2459962,87.8512774,0.45,0.2
95,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.29,2/19/306/250038/0067213/0001,KALIPUKUR,23.2437775,87.8540036,0.41,0.06
757,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.2,2/19/306/250038/0067186/0005,BALI PUKUR,23.2515392,87.8602241,0.1,1
758,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.2,2/19/306/250038/0067186/0006,JORA PUKUR,23.2509514,87.859085,0.08,1
759,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.2,2/19/306/250038/0067186/0007,FUL PUKUR,23.2508047,87.859836,0.05,2
760,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.2,2/19/306/250038/0067186/0008,NASTE PUKUR,23.2511297,87.8580156,0.8,3
761,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.2,2/19/306/250038/0067186/0009,BORO PUKUR,23.2509552,87.8582864,0.2,2
762,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.2,2/19/306/250038/0067186/0010,NAZAR PUKUR,23.2497731,87.8570868,0.25,2
763,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.27,2/19/306/250038/0067211/0003,LOMBA PUKUR,23.2508393,87.8557862,0.4,3
765,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.2,2/19/306/250038/0067186/0011,KOLA PUKUR,23.2503718,87.8555066,0.25,3
767,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.2,2/19/306/250038/0067186/0012,NURSE QUARTER MATH PUKUR,23.2485892,87.856325,0.8,3
764,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.2,2/19/306/250038/0067186/0013,HOTHAT COLONY PUKUR,23.2474226,87.8549379,0.9,4
766,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.29,2/19/306/250038/0067213/0002,MITHA PUKUR,23.2457898,87.8547339,1.45,3
768,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.29,2/19/306/250038/0067213/0003,HAPOR PUKUR,23.2456779,87.8542373,0.1,2
829,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.2,2/19/306/250038/0067186/0014,RAJ COLLEGE PUKUR,23.2466523,87.8559191,0.8,3
769,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.2,2/19/306/250038/0067186/0015,WBSEDCL COMPOUND ,23.2461702,87.8609039,0.35,3
831,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.2,2/19/306/250038/0067186/0016,SUDIP SAHA APARTMENT PUKUR,23.246557,87.8616595,0.25,3
770,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.2,2/19/306/250038/0067186/0017,BURDWAN NURSING HOME POND ,23.2465961,87.8616938,0.06,2
771,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.2,2/19/306/250038/0067186/0018,NA,23.2493354,87.8594508,0.2,2
773,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.29,2/19/306/250038/0067213/0004,SIDDHESHWARI KALI PUKUR ,23.2438025,87.8537237,0.2,3
772,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.29,2/19/306/250038/0067213/0005,TAL PUKUR,23.2439726,87.8538636,0.15,2
775,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.29,2/19/306/250038/0067213/0006,BULCHAND PUKUR,23.2426393,87.8552063,0.15,2
774,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.29,2/19/306/250038/0067213/0007,BAGAN BARI ,23.242377,87.8555846,0.06,2
776,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.29,2/19/306/250038/0067213/0008,HAZARI PUKUR,23.2426642,87.854215,0.25,3
778,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.29,2/19/306/250038/0067213/0009,RAY PUKUR,23.2419968,87.8547795,0.15,2
777,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.29,2/19/306/250038/0067213/0010,BABUL PUKUR,23.2413122,87.8539807,0.12,2
779,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.29,2/19/306/250038/0067213/0011,DAN PUKUR,23.2422956,87.8532186,0.11,2
780,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.29,2/19/306/250038/0067213/0012,BHAWANI PUKUR,23.2434524,87.8528158,0.55,3
781,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.29,2/19/306/250038/0067213/0013,DAS PUKUR,23.2455295,87.8531464,0.05,1
782,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.27,2/19/306/250038/0067211/0004,BANERJEE PUKUR,23.2456785,87.8511825,0.15,2
783,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.27,2/19/306/250038/0067211/0005,TEWARI PUKUR,23.2464033,87.850407,0.4,3
784,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.28,2/19/306/250038/0067212/0001,Krishna Sayar,23.2450501,87.8491076,13.9,4
785,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.28,2/19/306/250038/0067212/0002,KRISHNA SAYAR,23.2450501,87.8491076,13.9,4
786,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.27,2/19/306/250038/0067211/0006,NA,23.2445568,87.8505374,0.1,2
787,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.27,2/19/306/250038/0067211/0007,NA,23.2443062,87.8502629,0.05,2
788,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.27,2/19/306/250038/0067211/0008,NA,23.2444586,87.8511812,0.45,3
789,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.27,2/19/306/250038/0067211/0009,KUNDU PUKUR,23.2441238,87.8499298,0.1,2
790,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.27,2/19/306/250038/0067211/0010,RADHA BAG PUKUR,23.2430595,87.8498133,0.2,2
791,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.27,2/19/306/250038/0067211/0011,JHAPANTALA PUKUR,23.2434523,87.8504359,0.18,2
792,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.27,2/19/306/250038/0067211/0012,SHYAMLAL PUKUR,23.2435102,87.851124,0.4,3
793,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.27,2/19/306/250038/0067211/0013,POCHA PUKUR,23.2424671,87.8506542,0.2,2
796,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.28,2/19/306/250038/0067212/0003,FUL PUKUR,23.241883,87.8489875,0.55,3
794,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.28,2/19/306/250038/0067212/0004,BOSE PUKUR,23.2414251,87.8482828,0.25,3
795,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.28,2/19/306/250038/0067212/0005,SULI PUKUR,23.2408967,87.8510812,0.55,3
797,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.28,2/19/306/250038/0067212/0006,GODA PUKUR,23.24413,87.8439211,3.52,4
798,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.28,2/19/306/250038/0067212/0007,NA,23.244068,87.8417897,0.2,1
799,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.28,2/19/306/250038/0067212/0008,SIKDAR PUKUR,23.2449082,87.8422094,0.25,3
800,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.28,2/19/306/250038/0067212/0009,B ED COLLEGE COMPOUND ,23.2464935,87.8429329,0.2,3
801,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.28,2/19/306/250038/0067212/0010,THAKUR PUKUR,23.2473226,87.8442837,0.4,3
802,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.28,2/19/306/250038/0067212/0011,UBHOYKANON POND,23.2427805,87.8457071,0.2,2
803,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.27,2/19/306/250038/0067211/0014,NA,23.2540095,87.8547144,0.25,2
804,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.27,2/19/306/250038/0067211/0015,KAMAL DIGHIR PAR,23.252283,87.8544242,0.15,2
805,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.27,2/19/306/250038/0067211/0016,Kamal dighi,23.2523201,87.8544735,0.35,3
806,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.27,2/19/306/250038/0067211/0017,THAKUR PUKUR,23.2501894,87.8544358,0.1,2
807,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.27,2/19/306/250038/0067211/0018,Hospital Hostel Campus,23.2477592,87.8520739,0.1,2
808,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.27,2/19/306/250038/0067211/0019,BURDWAN HOSPITAL HOSTEL COMPOUND ,23.2493583,87.854182,0.25,2
809,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.27,2/19/306/250038/0067211/0020,BABU PUKUR,23.2499312,87.8516264,0.45,3
833,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.27,2/19/306/250038/0067211/0021,SHIB PUKUR,23.2499029,87.85044,0.55,3
810,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.27,2/19/306/250038/0067211/0022,VIJAY BAHAR ,23.2547913,87.8502829,0.1,3
811,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.32,2/19/306/250038/0067216/0001,GOPAL PUKUR,23.2418831,87.8579667,0.4,3
812,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.32,2/19/306/250038/0067216/0002,HATI PUKUR,23.2401568,87.8553465,0.15,2
813,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.32,2/19/306/250038/0067216/0003,PIR PUKUR,23.2415045,87.861513,0.15,3
814,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.32,2/19/306/250038/0067216/0004,KHOSBAGAN PUKUR,23.2421301,87.8608387,0.2,2
830,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.19,2/19/306/250038/0067203/0002,NAJU PUKUR,23.2357634,87.8517476,0.12,1
832,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.19,2/19/306/250038/0067203/0003,PIR PUKUR,23.2350448,87.8523371,0.85,4
816,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.11,2/19/306/250038/0067195/0001,NA,23.2292018,87.8757427,0.2,3
815,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.11,2/19/306/250038/0067195/0002,NA,23.229696,87.8766335,0.15,2
834,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.11,2/19/306/250038/0067195/0003,NA,23.2305759,87.8803329,0.1,2
817,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.11,2/19/306/250038/0067195/0004,NA,23.2325908,87.8809417,0.1,2
818,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.11,2/19/306/250038/0067195/0005,NA,23.2319567,87.8816287,0.15,2
820,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.11,2/19/306/250038/0067195/0006,NA,23.2322875,87.8836327,0.1,2
819,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.11,2/19/306/250038/0067195/0007,DIGHIR PAR ,23.2316442,87.884693,0.55,3
821,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.11,2/19/306/250038/0067195/0008,NA,23.2302654,87.8834567,0.15,2
822,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.11,2/19/306/250038/0067195/0009,OLAICHABDITALA PUKUR,23.2284956,87.8847772,0.35,2
823,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.11,2/19/306/250038/0067195/0010,NA,23.2292333,87.8817468,0.1,2
824,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.11,2/19/306/250038/0067195/0011,MEGHA PUKUR,23.229869,87.8823568,0.15,3
826,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.11,2/19/306/250038/0067195/0012,PALEDER PUKUR,23.2312447,87.881392,0.1,2
825,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.11,2/19/306/250038/0067195/0013,PALEDER PUKUR ,23.2315994,87.8818307,0.25,2
827,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.11,2/19/306/250038/0067195/0014,JAM PUKUR,23.225772,87.8829923,0.25,2
828,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.13,2/19/306/250038/0067197/0001,SAOTAL PUKUR,23.2157328,87.8708903,0.2,2
